  Open,  High,   Low, Close,Volume
21.743,21.989,21.526,21.98,146247
21.803,21.902,21.464,21.668,132881
21.668,21.766,21.555,21.766,101654
21.633,21.82,21.581,21.677,179272
21.724,21.775,21.545,21.668,86829
21.677,21.715,21.545,21.555,99518
21.499,21.944,21.279,21.766,143440
21.766,21.766,21.329,21.349,136701
21.349,21.572,21.225,21.32,134566
21.902,22.124,21.269,21.59,444808
21.633,21.724,21.279,21.607,186910
21.365,22.258,21.365,22.176,319456
22.166,22.435,22.079,22.166,240378
22.079,22.25,22.035,22.062,165455
22.124,22.791,22.079,22.55,1027335
22.523,22.612,22.346,22.489,338327
22.48,22.514,22.346,22.418,273180
22.435,22.523,22.311,22.435,262729
22.361,22.702,22.346,22.641,284071
22.658,22.702,22.523,22.641,153100
22.587,23.059,22.587,22.959,167587
22.738,22.738,22.489,22.506,176578
22.41,22.684,22.41,22.506,129176
22.506,22.641,22.212,22.48,158606
22.48,23.013,22.41,22.844,151081
22.844,23.531,22.808,23.101,325518
22.967,23.37,22.967,23.288,172870
23.202,23.422,23.202,23.352,89860
23.279,23.521,23.254,23.37,67958
23.548,23.548,23.288,23.344,95813
23.406,23.504,23.128,23.326,229706
23.326,23.38,22.621,23.138,145912
23.146,23.165,22.674,22.791,127263
22.967,22.987,21.944,22.035,184549
21.365,21.902,21.365,21.82,346302
23.993,23.993,21.288,21.883,278678
21.902,22.641,21.902,22.48,381346
22.658,22.942,22.47,22.738,274524
22.738,23.504,22.658,23.118,226111
23.193,23.297,23.004,23.227,400331
23.227,23.458,23.032,23.128,266773
23.128,23.458,23.013,23.173,217464
23.023,23.023,22.559,22.658,95928
22.674,22.674,22.141,22.443,75822
22.462,23.059,22.166,23.032,156133
23.193,23.236,22.881,23.023,136363
22.881,23.023,22.612,22.702,108282
22.702,23.316,22.702,23.128,130408
23.093,23.236,22.791,23.101,72899
23.193,23.227,22.835,23.138,74023
23.279,23.504,23.146,23.326,152655
23.288,23.288,22.746,23.138,96939
23.236,23.279,22.967,23.109,169500
23.138,23.398,22.621,22.72,91883
22.702,23.193,22.346,22.55,92446
22.498,23.521,22.498,23.37,88739
23.326,23.609,23.279,23.565,227907
23.618,23.735,23.531,23.637,219936
23.637,23.77,23.476,23.548,177026
23.6,23.77,23.512,23.699,191741
23.699,24.818,23.699,24.792,338211
24.614,24.837,24.572,24.659,147822
24.659,24.659,24.261,24.332,111092
24.339,24.482,24.261,24.393,133556
24.393,24.659,24.205,24.261,68070
24.118,24.482,24.118,24.482,179721
24.393,24.527,24.179,24.297,126141
24.261,24.51,24.002,24.429,220044
24.384,24.527,24.322,24.393,199942
24.27,24.527,24.242,24.463,110866
24.482,24.782,24.482,24.572,141983
24.572,24.837,24.232,24.251,184886
24.187,25.193,23.815,25.006,271719
24.837,25.117,24.482,25.06,416393
24.964,25.65,24.706,25.509,268907
24.393,25.193,24.034,25.15,922645
25.089,25.332,24.973,25.313,417179
25.248,25.362,25.143,25.332,282840
25.238,25.454,25.015,25.322,294855
25.16,25.228,24.706,24.716,188483
24.633,25.238,24.633,25.033,116820
25.107,25.482,24.929,25.426,163322
25.347,25.37,24.65,24.792,125354
24.572,24.973,24.393,24.725,473117
24.633,24.678,24.357,24.527,122771
24.519,25.313,24.393,25.285,145011
25.135,25.516,25.069,25.516,138722
25.332,25.37,24.929,25.015,160403
25.025,25.025,24.604,24.929,111201
24.894,25.594,24.447,25.37,182643
25.362,25.416,24.973,25.143,128836
24.996,25.015,24.659,24.802,141983
24.856,25.631,24.802,25.354,159949
25.362,26.146,25.248,25.985,151528
26.012,26.468,25.918,26.088,216116
26.088,26.247,25.942,26.119,123335
26.218,26.388,25.472,25.712,86492
25.667,25.918,25.667,25.826,206455
25.781,26.012,25.729,25.817,67171
25.826,25.932,25.462,25.747,91545
25.685,26.128,25.54,25.918,82444
25.881,26.04,25.603,25.675,111201
25.694,26.237,25.603,26.209,115807
26.156,26.156,25.685,25.737,152428
25.791,26.032,25.641,25.685,97385
25.781,25.807,25.218,25.462,127491
25.482,25.807,25.339,25.548,161975
25.594,25.631,25.209,25.295,161414
25.397,26.032,25.266,25.594,165906
25.675,26.291,25.558,26.291,128276
26.227,26.306,25.854,25.994,90760
25.932,26.156,25.772,25.918,168263
25.951,25.951,25.603,25.747,176127
25.807,25.826,25.37,25.567,108282
25.586,26.218,25.454,25.747,119400
25.881,26.032,24.979,25.729,114124
25.567,25.567,25.079,25.322,91321
25.332,25.729,25.15,25.454,82226
25.509,25.926,24.979,25.722,93565
25.641,25.641,24.734,24.929,109963
24.885,25.15,24.725,24.904,44934
24.725,25.006,24.456,24.847,85258
24.759,25.033,24.65,24.856,46392
24.929,25.313,24.591,25.025,74582
24.973,25.444,24.759,25.143,62567
25.107,25.641,24.743,25.033,100311
25.033,25.304,24.929,25.175,32799
25.175,25.175,24.42,24.491,91321
24.41,25.218,24.093,25.175,86715
25.285,25.525,24.802,25.069,138835
25.089,25.65,24.929,25.548,143104
25.747,25.926,25.257,25.444,161750
25.509,25.685,24.91,25.304,76832
25.37,25.871,25.313,25.844,99409
25.702,25.772,25.482,25.685,77729
25.482,25.817,25.193,25.8,76832
25.755,26.012,25.641,25.807,107606
25.729,26.022,25.586,25.807,165343
25.685,25.807,25.15,25.576,64924
25.533,25.772,24.936,25.025,82106
25.015,25.193,24.759,24.929,87165
24.929,25.033,24.678,24.837,239142
24.837,24.929,24.393,24.472,75147
24.565,24.706,23.6,23.932,262391
23.857,24.403,23.413,24.214,177924
24.171,24.527,24.083,24.438,193990
24.456,24.979,24.438,24.973,162759
25.107,25.548,24.929,24.929,129064
25.006,25.228,24.349,24.929,152655
24.572,25.167,24.565,24.752,167926
24.837,25.332,24.669,25.228,156355
25.257,25.985,25.238,25.594,237683
25.641,25.994,25.516,25.791,254305
25.91,26.088,25.285,25.354,191625
25.8,25.8,24.865,25.248,277782
25.406,25.942,25.406,25.772,394487
25.91,26.929,25.764,26.787,964763
26.787,27.153,26.487,26.885,398868
28.042,28.907,28.042,28.497,812003
28.481,28.605,28.284,28.372,614536
28.15,28.177,27.472,28.134,581624
28.134,28.32,27.777,28.294,265650
28.32,28.399,27.864,28.196,352253
28.22,28.372,27.838,27.983,243407
27.892,28.881,27.687,28.881,283174
28.756,28.756,27.864,28.229,269021
28.337,28.967,28.238,28.932,327542
28.926,29.826,28.711,29.777,524785
29.648,29.787,29.165,29.777,395724
29.777,29.966,29.289,29.556,420101
29.423,29.459,28.229,28.399,273180
28.49,28.932,28.49,28.711,176578
28.907,29.92,28.871,29.826,440881
29.878,30.261,29.325,29.975,277557
29.871,30.456,29.871,30.438,313167
30.662,31.018,30.339,30.643,296876
30.766,30.774,30.227,30.555,477386
30.679,30.85,30.329,30.624,418637
